Site	Ecoregion	Province	Realm	Habitat	Depth	Date	CLASS	ORDER	FAMILY	GENUS	Taxa	Abun	Dimensions	Method	Source
CAN107	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	6	05/04/2015	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN107	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	8	05/04/2015	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN11	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	5	12/08/2011	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN11	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	5	12/08/2011	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN12	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	4	12/10/2011	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN12	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	3	12/10/2011	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN13	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	13	12/12/2011	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN13	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	6	12/12/2011	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN13	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	7	12/12/2011	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN13	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	13	12/12/2011	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN14	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	6	12/17/2011  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN14	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	5	12/17/2011  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN15	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	6	01/07/2012	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN15	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	6	01/07/2012	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN15	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	8	01/07/2012	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN15	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	7	01/07/2012	Elasmobranchii	Myliobatiformes	Myliobatidae	Myliobatis	Myliobatis aquila	2	500	Transect	RLS
CAN16	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	5	1/14/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN16	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	8	1/14/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN16	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	4	1/14/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN16	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	4	1/14/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN16	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	9	1/14/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN16	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	5	1/14/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN16	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	4	1/14/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN16	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	5	10/20/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN16	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	6	10/20/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN17	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	4	1/14/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN17	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	6	1/14/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN17	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	6	1/14/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN17	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	5	1/14/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN18	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	3	1/14/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN18	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	5	1/22/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN18	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	6	1/22/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN18	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	6	1/22/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN19	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	3	02/12/2012	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN19	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	3	02/12/2012	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN19	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	5	02/11/2012	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN19	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	6	02/11/2012	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN2	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	17	10/10/2011	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN2	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	6	10/10/2011	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN2	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	13	10/10/2011	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN20	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	4	2/24/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN20	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	5	2/24/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN21	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	2	03/03/2012	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN21	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	3	03/03/2012	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN21	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	2	03/03/2012	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN21	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	4	03/03/2012	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN21	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	3	9/23/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN21	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	3	9/23/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN22	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	5	3/16/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN23	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	6	3/24/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN23	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	3	3/24/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN23	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	7	3/24/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN23	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	6	3/24/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN24	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	6	3/23/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN24	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	6	3/23/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN24	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	7	3/23/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN25	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	5	3/24/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN25	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	6	3/22/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN25	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	5	3/22/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN25	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	6	3/24/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN26	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	7	3/27/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN27	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	4	3/25/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN27	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	5	3/25/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN27	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	5	3/25/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN28	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	5	3/25/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN28	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	6	3/25/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN29	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	7	3/26/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN3	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	8	10/10/2011	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN3	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	5	10/10/2011	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN3	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	7	10/10/2011	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN30	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	4	04/05/2012	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN30	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	6	04/05/2012	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN31	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	6	4/29/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN31	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	6	4/29/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN31	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	6	4/29/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN31	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	7	4/29/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN32	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	16	4/29/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN32	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	18	4/29/2012  	Elasmobranchii	Myliobatiformes	Dasyatidae	Taeniura	Taeniura grabata	2	500	Transect	RLS
CAN33	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	22	4/28/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN34	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	18	4/28/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN35	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	22	4/28/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN36	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	5	8/21/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN36	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	6	7/22/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN36	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	6	8/21/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN36	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	5	7/22/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN37	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	6	08/06/2012	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN37	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	9	08/06/2012	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN37	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	7	08/06/2012	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN38	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	4	08/07/2012	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN38	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	6	08/07/2012	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN39	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	16	08/09/2012	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN4	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	17	10/11/2011	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN4	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	8	10/11/2011	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN4	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	9	10/11/2011	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN40	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	9	08/08/2012	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN41	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	16	08/08/2012	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN42	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	5	8/16/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN42	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	7	8/16/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN43	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	3	8/17/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN43	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	4	8/17/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN44	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	7	8/23/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN44	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	7	8/23/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN45	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	10	8/23/2012  	Elasmobranchii	Myliobatiformes	Myliobatidae	Myliobatis	Myliobatis aquila	2	500	Transect	RLS
CAN45	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	7	8/23/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN46	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	18	4/29/2012  	Elasmobranchii	Myliobatiformes	Dasyatidae	Taeniura	Taeniura grabata	2	500	Transect	RLS
CAN47	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	16	9/29/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN47	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	17	9/29/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN48	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	6	9/21/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN48	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	5	10/20/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN49	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	5	9/21/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN49	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	4	10/20/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN49	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	21	9/21/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN49	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	25	10/20/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN5	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	17	10/11/2011	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN5	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	9	10/11/2011	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN5	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	10	10/11/2011	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN50	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	3	9/23/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN50	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	4	9/23/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN51	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	4	10/23/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN51	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	7	10/23/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN52	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	7	10/23/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN52	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	6	10/24/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN53	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	3	10/24/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN53	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	3	10/23/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN54	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	7	10/27/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN54	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	5	10/27/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN55	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	4	10/27/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN55	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	9	10/27/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN56	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	9	10/28/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN56	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	8	10/27/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN56	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	8	10/28/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN57	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	7	10/28/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN57	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	6	10/28/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN58	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	4	10/28/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN58	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	3	10/28/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN59	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	6	10/28/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN59	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	3	10/18/2012  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN6	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	12	10/11/2011	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN6	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	8	10/11/2011	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN6	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	10	10/11/2011	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN60	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	6	3/26/2013  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN61	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	3	3/26/2013  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN62	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	5	3/26/2013  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN63	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	3	3/27/2013  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN64	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	2	3/28/2013  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN65	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	4	3/28/2013  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN66	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	5	4/16/2013  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN67	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	4	4/16/2013  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN68	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	3	06/11/2013	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN69	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	3	06/12/2013	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN7	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	13	10/13/2011  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN7	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	12	10/13/2011  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN70	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	5	6/22/2013  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN71	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	3	7/19/2013  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN72	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	4	7/20/2013  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN73	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	4	7/20/2013  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN74	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	5	7/21/2013  	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN75	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	7	05/03/2015	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN75	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	9	05/03/2015	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN76	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	5	05/03/2015	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN76	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	5	05/03/2015	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN77	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	8	05/05/2015	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN77	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	8	05/05/2015	NA	NA	NA	NA	NA	0	500	Transect	RLS
CAN78	Webbnesia	Lusitanian	Temperate Northern Atlantic	Reef	6	05/05/2015	NA	NA	NA	NA	NA	0	500	Transect	RLS
